speaker,bigram,n,total,tf,idf,tf_idf
Jay Inslee,washingtonians safe,5,13530,0.0017391304347826088,3.912023005428146,0.006803518270309819
Jim Justice,wv wvgov,111,12034,0.04082383229128356,3.912023005428146,0.1597037710932417
Jim Justice,wvgov https,103,12034,0.03788157410812799,3.912023005428146,0.1481935893928279
Jim Justice,west virginia,62,12034,0.02280250091945568,3.912023005428146,0.08920390817820707
Jim Justice,gov justice,31,12034,0.01140125045972784,3.912023005428146,0.044601954089103536
Jim Justice,live gov,28,12034,0.010297903641044501,2.5257286443082556,0.026009710202512377
Jim Justice,west virginians,28,12034,0.010297903641044501,3.912023005428146,0.04028563595144836
Jim Justice,toll free,13,12034,0.004781169547627804,1.8325814637483102,0.008761882688020608
Jim Justice,holds press,10,12034,0.003677822728944465,3.2188758248682006,0.011838454670350131
Jim Justice,free hotline,9,12034,0.0033100404560500183,3.2188758248682006,0.010654609203315117
Jim Justice,justice holds,9,12034,0.0033100404560500183,3.912023005428146,0.012948954412965544
John Bel Edwards,lagov lalege,590,51157,0.054705609643022714,3.912023005428146,0.21400960344947667
John Bel Edwards,lalege https,196,51157,0.0181733889661567,3.912023005428146,0.07109471572219904
John Bel Edwards,lalege lagov,189,51157,0.017524339360222532,3.912023005428146,0.0685556187321205
John Bel Edwards,lagov https,90,51157,0.008344923504867872,3.912023005428146,0.03264553272958119
John Bel Edwards,lagov louisianagov,87,51157,0.008066759388038943,3.912023005428146,0.031557348305261815
John Bel Edwards,louisianagov louisianagov,69,51157,0.006397774687065368,3.912023005428146,0.02502824175934558
John Bel Edwards,coronavirus louisianagov,50,51157,0.004636068613815485,3.912023005428146,0.01813640707198955
John Bel Edwards,louisiana department,35,51157,0.003245248029670839,3.912023005428146,0.012695484950392685
John Bel Edwards,gov edwards,34,51157,0.0031525266573945296,3.2188758248682006,0.010147591844739807
John Bel Edwards,louisiana https,33,51157,0.00305980528511822,3.912023005428146,0.011970028667513104
John Carney,desots https,28,10098,0.011281224818694601,3.912023005428146,0.04413241102014025
John Carney,netde https,16,10098,0.0064464141821112,3.912023005428146,0.025218520582937283
John Carney,t.co ljwwqysjfw,16,10098,0.0064464141821112,3.912023005428146,0.025218520582937283
John Carney,ljwwqysjfw https,11,10098,0.004431909750201451,3.912023005428146,0.017337732900769384
John Carney,opportunity funding,10,10098,0.0040290088638195,3.912023005428146,0.0157615753643358
John Carney,edude https,8,10098,0.0032232070910556,3.912023005428146,0.012609260291468641
John Carney,delaware_dhss division,7,10098,0.0028203062046736503,3.912023005428146,0.011033102755035062
John Carney,kindness week,5,10098,0.00201450443190975,3.2188758248682006,0.006484439614964142
John Carney,cleanwaterde https,4,10098,0.0016116035455278,3.912023005428146,0.006304630145734321
John Carney,delaware's response,4,10098,0.0016116035455278,3.912023005428146,0.006304630145734321
Kate Brown,climate change,15,7909,0.009759271307742356,0.9162907318741551,0.008942329849129686
Kate Brown,oregon https,7,7909,0.004554326610279766,3.912023005428146,0.01781663047364803
Kate Brown,gas emissions,5,7909,0.0032530904359141183,2.120263536200091,0.006897409031229964
Kate Brown,greenhouse gas,5,7909,0.0032530904359141183,1.9661128563728327,0.00639594292899425
Kate Brown,eligible voter,4,7909,0.002602472348731295,3.912023005428146,0.010180931699227446
Kate Brown,oregon health,4,7909,0.002602472348731295,3.912023005428146,0.010180931699227446
Kate Brown,business closures,3,7909,0.001951854261548471,2.8134107167600364,0.005491367696994215
Kate Brown,eastern oregon,3,7909,0.001951854261548471,3.912023005428146,0.007635698774420584
Kate Brown,fire season,3,7909,0.001951854261548471,3.912023005428146,0.007635698774420584
Kate Brown,heard https,3,7909,0.001951854261548471,2.8134107167600364,0.005491367696994215
Kay Ivey,alpolitics https,75,11418,0.026891358910003587,3.912023005428146,0.10519961470315918
Kay Ivey,alpolitics aledchat,16,11418,0.005736823234134099,3.912023005428146,0.02244258447000729
Kay Ivey,aledchat sboe,11,11418,0.003944065973467192,3.912023005428146,0.015429276823130013
Kay Ivey,sboe alsboe,9,11418,0.0032269630692004303,3.912023005428146,0.012623953764379102
Kay Ivey,aledchat https,7,11418,0.002509860164933668,3.912023005428146,0.00981863070562819
Kay Ivey,alsboe https,6,11418,0.002151308712800287,3.912023005428146,0.008415969176252735
Kay Ivey,dr scott,6,11418,0.002151308712800287,3.912023005428146,0.008415969176252735
Kay Ivey,scott harris,6,11418,0.002151308712800287,3.912023005428146,0.008415969176252735
Kay Ivey,star id,6,11418,0.002151308712800287,3.912023005428146,0.008415969176252735
Kay Ivey,unemployment compensation,5,11418,0.0017927572606669057,2.8134107167600364,0.0050437624897096385
Kevin Stitt,oklaproud https,15,10150,0.007583417593528817,3.912023005428146,0.02966650408565328
Kevin Stitt,top ten,10,10150,0.005055611729019211,2.8134107167600364,0.014223512218200385
Kevin Stitt,oklahoma https,8,10150,0.004044489383215369,3.912023005428146,0.015822135512348418
Kevin Stitt,call center,7,10150,0.003538928210313448,1.3470736479666094,0.004767196934158881
Kevin Stitt,job creators,7,10150,0.003538928210313448,2.302585092994046,0.008148683342243843
Kevin Stitt,link https,7,10150,0.003538928210313448,1.1394342831883648,0.0040323761285735865
Kevin Stitt,t.co yoeoephrtg,6,10150,0.003033367037411527,3.912023005428146,0.011866601634261313
Kevin Stitt,agency leaders,4,10150,0.0020222446916076846,2.302585092994046,0.004656390481282196
Kevin Stitt,model gaming,4,10150,0.0020222446916076846,3.912023005428146,0.007911067756174209
Kevin Stitt,oktopten https,4,10150,0.0020222446916076846,3.912023005428146,0.007911067756174209
Kim Reynolds,covid ー,16,6605,0.01038961038961039,1.2729656758128876,0.013225617411042988
Kim Reynolds,investiniowaact https,15,6605,0.00974025974025974,3.912023005428146,0.03810412018274168
Kim Reynolds,opportunityliveshere https,13,6605,0.008441558441558441,3.912023005428146,0.033023570825042786
Kim Reynolds,iowa act,8,6605,0.005194805194805195,3.912023005428146,0.020322197430795563
Kim Reynolds,town hall,8,6605,0.005194805194805195,1.1394342831883648,0.0059191391334460506
Kim Reynolds,iowa https,6,6605,0.003896103896103896,3.912023005428146,0.015241648073096673
Kim Reynolds,additional positive,5,6605,0.003246753246753247,2.120263536200091,0.006883972520130166
Kim Reynolds,kim reynolds,5,6605,0.003246753246753247,3.2188758248682006,0.010450895535286366
Kim Reynolds,based learning,4,6605,0.0025974025974025974,2.5257286443082556,0.006560334141060404
Kim Reynolds,iagovernor kim,4,6605,0.0025974025974025974,3.2188758248682006,0.008360716428229092
Kristi Noem,south dakota,62,9357,0.0287569573283859,3.912023005428146,0.11249787863476116
Kristi Noem,covid ー,27,9357,0.012523191094619666,1.2729656758128876,0.015941592415096458
Kristi Noem,keepsdsafe https,13,9357,0.006029684601113173,3.912023005428146,0.023588264875030567
Kristi Noem,southdakotaopenforbusiness https,12,9357,0.0055658627087198514,3.912023005428146,0.021773782961566675
Kristi Noem,dakota https,10,9357,0.00463821892393321,3.2188758248682006,0.014929850764694809
Kristi Noem,south dakotans,8,9357,0.0037105751391465678,3.912023005428146,0.014515855307711116
Kristi Noem,keepsdsafe sdwx,7,9357,0.003246753246753247,3.912023005428146,0.012701373394247229
Kristi Noem,south dakota’s,6,9357,0.0027829313543599257,3.912023005428146,0.010886891480783338
Kristi Noem,sd producers,5,9357,0.002319109461966605,3.912023005428146,0.009072409567319448
Kristi Noem,sdwx https,5,9357,0.002319109461966605,3.912023005428146,0.009072409567319448
Larry Hogan,baltimore city,12,9510,0.005749880210828941,3.912023005428146,0.022493663663218855
Larry Hogan,larry hogan,9,9510,0.004312410158121706,3.912023005428146,0.016870247747414142
Larry Hogan,mdsots https,9,9510,0.004312410158121706,3.912023005428146,0.016870247747414142
Larry Hogan,ongoing response,8,9510,0.003833253473885961,1.9661128563728327,0.007536608936743011
Larry Hogan,governor larry,6,9510,0.0028749401054144704,3.912023005428146,0.011246831831609428
Larry Hogan,live covid,6,9510,0.0028749401054144704,2.8134107167600364,0.008088387302616299
Larry Hogan,maryland’s ongoing,6,9510,0.0028749401054144704,3.912023005428146,0.011246831831609428
Larry Hogan,violent criminals,6,9510,0.0028749401054144704,3.2188758248682006,0.009254075203262675
Larry Hogan,anne arundel,5,9510,0.0023957834211787254,3.912023005428146,0.009372359859674523
Larry Hogan,crime bills,5,9510,0.0023957834211787254,3.912023005428146,0.009372359859674523
Laura Kelly,ksleg https,38,14743,0.010761823845935995,3.912023005428146,0.04210050246566682
Laura Kelly,stateofthestate ksleg,8,14743,0.0022656471254602095,3.912023005428146,0.008863263676982489
Laura Kelly,kansas city,7,14743,0.0019824412347776836,2.8134107167600364,0.005577421415270534
Laura Kelly,kansas department,7,14743,0.0019824412347776836,3.912023005428146,0.007755355717359678
Laura Kelly,kansas https,6,14743,0.0016992353440951572,3.912023005428146,0.006647447757736867
Laura Kelly,kdhe website,6,14743,0.0016992353440951572,3.912023005428146,0.006647447757736867
Laura Kelly,week's kansan,6,14743,0.0016992353440951572,3.912023005428146,0.006647447757736867
Laura Kelly,kansascounts https,5,14743,0.001416029453412631,3.912023005428146,0.005539539798114056
Laura Kelly,aviation sector,4,14743,0.0011328235627301047,3.912023005428146,0.004431631838491244
Laura Kelly,julie lorenz,4,14743,0.0011328235627301047,3.912023005428146,0.004431631838491244
Mark Gordon,health officer,4,4261,0.004889975550122249,2.120263536200091,0.010368036851834185
Mark Gordon,distancing measures,3,4261,0.003667481662591687,1.4271163556401458,0.0052339230646949115
Mark Gordon,gowyo https,3,4261,0.003667481662591687,3.912023005428146,0.014347272636044545
